,permno,DATE,pred,RET
320,14542,202003,-0.13117513,-0.131797
321,22111,202109,0.018796401,-0.067175
322,14542,202005,0.02161662,0.059511
323,22111,202108,0.017925203,0.011556
324,47896,202103,0.01832761,0.034382
325,14542,201912,0.019069161,0.024568
327,13407,201802,0.019341096,-0.045856
329,90319,202008,0.019441769,0.095151
330,13407,201909,0.019638099,-0.040879
332,22111,202106,0.019810878,-0.026647
338,90319,202010,0.019969745,0.102695
340,47896,202001,0.020035401,-0.044046
343,92655,202111,0.020140026,-0.03529
345,22111,202107,0.020221531,0.045283
347,55976,202012,0.0202972,-0.053014
348,14542,201911,0.020363528,0.035592
349,22111,202104,0.020421274,-0.009857
352,90319,202006,0.02052457,-0.010792
353,90319,202002,0.020515941,-0.065279
354,22111,202102,0.020558279,-0.022436
356,13407,201910,0.0205951,0.076202
357,22111,202111,0.020627668,-0.036162
359,22111,202105,0.020656947,0.04658
361,13407,201803,0.020682748,-0.103914
362,13407,201906,0.020709414,0.087508
363,14542,201809,0.020728411,-0.020292
364,14542,201808,0.020747928,0.000764
365,90319,202007,0.021056954,0.049293
367,22111,202110,0.020765705,0.008545
371,13407,201809,0.020790303,-0.064132
373,13407,201801,0.020789914,0.059107
374,14542,201908,0.020817708,-0.02349
381,14542,201910,0.020827519,0.033724
382,92655,202112,0.02083458,0.13365
383,66181,202112,0.0208454,0.040064
385,14542,201810,0.02085466,-0.097782
387,55976,202111,0.020862069,-0.058827
389,22111,202103,0.020869322,0.03717
390,13407,201808,0.020876145,0.018252
393,92611,202108,0.020882022,-0.068875
395,47896,202002,0.020886943,-0.122771
396,55976,202109,0.020892616,-0.058879
398,22111,202101,0.020897243,0.036536
399,14542,201905,0.020901425,-0.071394
400,47896,201912,0.020905286,0.057984
401,14542,201909,0.020908887,0.026008
402,13407,201805,0.020912122,0.115
406,22111,202112,0.020915106,0.097095
408,14542,201802,0.020917896,-0.055738
409,14542,201904,0.020920506,0.012929
412,55976,202101,0.02092269,-0.02539
417,93436,202010,0.043396674,-0.095499
421,86580,202106,0.021119516,0.231586
422,90319,202005,0.02283014,0.064469
423,22111,202009,0.02182971,-0.029529
